seq,part,UNID,kind,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,term,desc,card
312,ヘッダ部,UN01005930,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation,,,,,,,,,インボイス文書決済／インボイス文書合計金額グループ,インボイス文書の合計金額に関するグループ,0..1
313,ヘッダ部,UN01005941,ABIE,,,,,CIIH_ Trade Settlement_ Monetary Summation. Details,,,,,,,,インボイス文書合計金額クラス,インボイス文書の鑑ヘッダ合計金額に関する情報からなるクラス,－
314,ヘッダ部,UN01005945,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Tax Basis Total. Amount,,,,,,,インボイス文書総合計金額（税抜き）,"インボイス文書の総合計金額（税抜き）＝
鑑ヘッダ譲渡資産合計金額（税抜き）＋消費税外総合計金額",0..1
315,ヘッダ部,UN01005946,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,,,,,鑑ヘッダ総合計税額,鑑ヘッダ課税分類税額の総合計税額,0..1
316,ヘッダ部,UN01005948,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,インボイス文書総合計金額（税込み）,"インボイス文書総合計金額（税込み）
＝鑑ヘッダ譲渡資産合計金額（税込み）+消費税外総合計金額",0..1
317,ヘッダ部,UN01005950,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,,,,,,,前払合計金額,"インボイス文書総合計金額のうち、すでに前払いで支払済合計金額
前払いユースケースでは必須",0..1
318,ヘッダ部,UN01008445,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,,,,,,,支払責務金額総合計,"前払いユースケースの支払責務金額＝
",0..1
319,ヘッダ部,UN01008451,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,,,,,鑑ヘッダ譲渡資産合計金額(税抜き),鑑ヘッダ譲渡資産金額総合計金額（税抜き）＝∑文書ヘッダ課税分類譲渡資産合計金額（税抜き）,0..1
320,ヘッダ部,UN01013091,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Including Taxes_ Line Total. Amount,,,,,,,鑑ヘッダ譲渡資産合計金額(税込み),鑑ヘッダ譲渡資産金額総合計金額（税込み）＝∑文書ヘッダ課税分類譲渡資産合計金額（税込み）,0..1
321,ヘッダ部,UN01005931,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,,,,,,,,,インボイス文書決済／鑑ヘッダ調整グループ,インボイス文書の鑑ヘッダ調整に関するグループ,0..n
322,ヘッダ部,UN01005487,ABIE,,,,,CI_ Financial_ Adjustment. Details,,,,,,,,鑑ヘッダ調整クラス,鑑ヘッダ調整に関する情報からなるクラス,－
323,ヘッダ部,UN01005488,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Code,,,,,,,鑑ヘッダ調整理由コード,鑑ヘッダ調整金額の内容を識別するコード,0..1
324,ヘッダ部,UN01005489,BBIE,,,,,,CI_ Financial_ Adjustment. Reason. Text,,,,,,,鑑ヘッダ調整理由,鑑ヘッダ調整の内容説明,0..1
325,ヘッダ部,UN01005490,BBIE,,,,,,CI_ Financial_ Adjustment. Actual. Amount,,,,,,,鑑ヘッダ調整金額,"鑑ヘッダ調整金額
'＝（修正インボイス金額ー誤りインボイス金額）
調整ユースケースでは必須",0..1
326,ヘッダ部,UN01014649,BBIE,,,,,,CI_ Financial_ Adjustment. Direction. Code,,,,,,,鑑ヘッダ調整取引方向コード,"鑑ヘッダ調整額、鑑ヘッダ調整税額の＋ーを識別するコード
調整ユースケースでは必須",0..1
327,ヘッダ部,UN01009671,ASBIE,,,,,,CI_ Financial_ Adjustment. Invoice_ Reference. CI_ Referenced_ Document,,,,,,,インボイス文書調整／調整参照文書グループ,インボイス文書の調整でインボイス文書が参照する文書に関するグループ,0..1
328,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,インボイス調整参照文書クラス,この調整でインボイス文書が参照する文書のクラス,－
329,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,インボイス調整参照文書ID,この調整でインボイス文書が参照する文書に記載の文書ID,1..1
330,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,インボイス調整参照文書発行日,この調整でインボイスが参照する文書に記載の発行日付,0..1
331,ヘッダ部,UN01005586,BBIE,,,,,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,インボイス調整参照文書参照タイプコード,この調整で参照する前回インボイス文書の参照タイプに関するコード＝OI  (Previous invoice number),0..1
332,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,インボイス参照文書履歴ID,この調整でインボイスが参照する文書の変更履歴を管理するID。,0..1
333,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,インボイス調整参照文書タイプコード,この調整でインボイス文書が参照する文書の文書タイプを識別するコード,0..1
334,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,インボイス調整参照文書サブタイプコード,この調整で修正インボイス文書が参照する文書の文書サブタイプを識別するコード,0..1
335,ヘッダ部,UN01014897,ASBIE,,,,,,CI_ Financial_ Adjustment. Related. CI_ Trade_ Tax,,,,,,,文書調整／鑑ヘッダ調整税グループ,インボイス文書調整の鑑ヘッダ調整税クラスに関するグループ,0..n
336,ヘッダ部,UN01005832,ABIE,,,,,,,CI_ Trade_ Tax. Details,,,,,,鑑ヘッダ調整税クラス,鑑ヘッダ調整の税クラス,－
337,ヘッダ部,UN01005833,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Amount,,,,,鑑ヘッダ調整税額,"鑑ヘッダの調整税額
＝修正インボイス税額ー誤りインボイス税額",0..1
338,ヘッダ部,UN01005836,BBIE,,,,,,,,CI_ Trade_ Tax. Calculated. Rate,,,,,鑑ヘッダ調整税率,鑑ヘッダ調整の税率,0..1
339,ヘッダ部,UN01005841,BBIE,,,,,,,,CI_ Trade_ Tax. Category. Code,,,,,鑑ヘッダ調整課税分類コード,鑑ヘッダ調整の課税分類コード,0..1
340,ヘッダ部,JPS2300021,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Advance_ Payment,,,,,,,,,インボイス文書決済／前払グループ,前払に関するグループ,0..n
341,ヘッダ部,UN01015590,ABIE,,,,,CI_ Advance_ Payment. Details,,,,,,,,前払クラス,前払に関するクラス,－
342,ヘッダ部,UN01015591,BBIE,,,,,,CI_ Advance_ Payment. Paid. Amount,,,,,,,前払金額,前払の金額,0..1
343,ヘッダ部,UN01015592,BBIE,,,,,,CI_ Advance_ Payment. Formatted_ Received. Date Time,,,,,,,前払受領日,前払金額の受領日,0..1
344,ヘッダ部,UN01015593,BBIE,,,,,,CI_ Advance_ Payment. Identification. Identifier,,,,,,,前払ID,前払者が付与した前払ID,0..1
345,ヘッダ部,UN01015596,ASBIE,,,,,,CI_ Advance_ Payment. Identified. CI_ Trade_ Payment Terms,,,,,,,前払／支払条件グループ,前払の支払条件に関するグループ,0..1
346,ヘッダ部,UN01005779,ABIE,,,,,,,CI_ Trade_ Payment Terms. Details,,,,,,前払支払条件クラス,前払い支払条件のクラス,－
347,ヘッダ部,UN01008502,BBIE,,,,,,,,CI_ Trade_ Payment Terms. Type. Code,,,,,前払条件タイプコード,前払い支払条件のタイプを指定するコード,0..1
348,ヘッダ部,UN01015492,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,,,,,,,,,インボイス文書決済／消費税外合計金額グループ,消費税外合計金額に関するグループ,0..1
349,ヘッダ部,UN01005941,ABIE,,,,,CIIH_ Trade Settlement_ Monetary Summation. Details,,,,,,,,消費税外合計金額クラス,消費税外合計金額（消費税対象外）に関する情報からなるクラス,－
350,ヘッダ部,UN01005943,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Charge Total. Amount,,,,,,,追加請求合計金額（消費税対象外）,消費税が関係しない追加請求合計金額。消費税不課税取引額（課税分類コード＝Ｏの取引）、立替金等。,0..1
351,ヘッダ部,UN01005944,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,,,,,,,返金合計金額（消費税対象外）,消費税が関係しない返金（減額）合計金額。消費税不課税取引返金額（課税分類コード＝Ｏの取引）、源泉徴収税等。,0..1
352,ヘッダ部,UN01005948,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Grand Total. Amount,,,,,,,前回インボイス総合計金額（税込み）,前回インボイス文書の総合計金額（税込み）,0..1
353,ヘッダ部,UN01005950,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Total Prepaid. Amount,,,,,,,入金済金額（前回インボイス分）,前回インボイス文書総合計金額のうち、入金済合計金額,0..1
354,ヘッダ部,UN01008445,BBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Due Payable. Amount,,,,,,,消費税外総合計金額,"消費税外総合計金額＝
前回インボイス総合計金額（税込み）ー入金済金額(前回インボイス分)＋追加請求合計額（消費税対象外）ー返金合計額（消費税対象外）",0..1
355,ヘッダ部,UN01015493,ASBIE,,,,,,CIIH_ Trade Settlement_ Monetary Summation. Specified. CI_ Referenced_ Document,,,,,,,消費税外合計金額／参照文書グループ,消費税外合計金額が参照する文書に関するグループ,0..n
356,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,消費税外参照文書クラス,消費税外合計金額が参照する文書のクラス,－
357,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,消費税外参照文書ID,消費税外合計金額が参照する文書に記載の文書ID,1..1
358,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,消費税外参照文書発行日,消費税外合計金額が参照する文書に記載の発行日付,0..1
359,ヘッダ部,UN01005586,BBIE,,,,,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,消費税外参照文書参照タイプコード,"消費税外合計金額が参照する文書を識別するコード。
違算ユースケースの場合＝「OI」Previous invoice number",0..1
360,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,消費税外参照文書履歴ID,消費税外合計金額が参照する文書の変更履歴を管理するID。,0..1
361,ヘッダ部,UN01006415,BBIE,,,,,,,,CI_ Referenced_ Document. Information. Text,,,,,消費税外参照文書情報,消費税外合計金額が参照する文書に関する情報,0..1
362,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,消費税外参照文書タイプコード,消費税外合計金額が参照する文書の文書タイプを識別するコード,1..1
363,ヘッダ部,UN01011455,BBIE,,,,,,,,CI_ Referenced_ Document. Attachment. Binary Object,,,,,消費税外参照文書添付ファイル,"この文書ヘッダ参照文書の添付バイナリファイルの有無を指定
ありの場合はUN01006015のバイナリファイルID（BASE64）を入力",0..1
364,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,消費税外参照文書サブタイプコード,消費税外合計金額が参照する文書の文書サブタイプを識別するコード,0..1
365,ヘッダ部,UN01005940,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,,,,,,,,,,,統合文書取引／明細文書行グループ,"統合請求（区分３請求）で複数の文書を統合する場合に、統合する複数の文書を明細文書行として識別するグループ。

単一請求（区分」請求、区分2請求）の場合はこのグループは明細文書ID＝１のみを利用する",1..n
366,ヘッダ部,UN01005988,ABIE,,,CIIL_ Supply Chain_ Trade Line Item. Details,,,,,,,,,,明細文書クラス,統合文書へ統合される明細文書のクラス,－
367,ヘッダ部,UN01005989,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Associated. CIIL_ Document Line_ Document,,,,,,,,,明細文書行／明細文書グループ,統合文書の明細文書行を構成する明細文書に関するグループ。,1..1
368,ヘッダ部,UN01005953,ABIE,,,,,CIIL_ Document Line_ Document. Details,,,,,,,,明細文書クラス,統合文書に統合される明細文書に関する情報からなるクラス。,－
369,ヘッダ部,UN01005954,BBIE,,,,,,CIIL_ Document Line_ Document. Line. Identifier,,,,,,,明細文書ID,"この統合文書に統合する複数の明細文書を特定し、識別するために付与したID。
デフォルトは「１」
単一文書（区分1請求、区分２請求）の場合は非公開とし、EDIプロバイダが「１」をセットする。",1..1
370,ヘッダ部,UN01014645,BBIE,,,,,,CIIL_ Document Line_ Document. Category. Code,,,,,,,明細文書類型コード,"この明細文書の取引類型（資産譲渡、補完、返金・追加請求、相殺、調整、参照等）を識別するコード。
デフォルトは資産譲渡",0..1
371,ヘッダ部,UN01005957,ASBIE,,,,,,CIIL_ Document Line_ Document. Included. CI_ Note,,,,,,,文書ヘッダ／注釈グループ,文書ヘッダの注釈に関するグループ,0..n
372,ヘッダ部,UN01005557,ABIE,,,,,,,CI_ Note. Details,,,,,,文書ヘッダ注釈クラス,文書ヘッダの注釈を記述するクラス, -
373,ヘッダ部,UN01005558,BBIE,,,,,,,,CI_ Note. Subject. Text,,,,,文書ヘッダ注釈表題,"文書ヘッダの注釈内容の表題を示す。
一部に利用制限あり。標準仕様書３．３．５項参照。",0..1
374,ヘッダ部,UN01005560,BBIE,,,,,,,,CI_ Note. Content. Text,,,,,文書ヘッダ注釈内容,"文書ヘッダの注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",0..1
375,ヘッダ部,UN01005562,BBIE,,,,,,,,CI_ Note. Identification. Identifier,,,,,文書ヘッダ注釈ID,"文書ヘッダ注釈の識別ID
共通EDIプロバイダがシリアル番号をセット。標準仕様書３．３．５項参照",0..1
376,ヘッダ部,UN01014895,ASBIE,,,,,,CIIL_ Document Line_ Document. Reference. CI_ Referenced_ Document,,,,,,,明細文書／統合文書ヘッダグループ,"この統合文書が統合する明細文書に関するグループ。
文書タイプが「統合文書」を指定する場合にこのグループは必須。「単一請求」の場合はこのクラスは実装しない。",0..1
377,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,明細統合文書クラス,この統合文書が統合する明細文書に関する情報からなるクラス, -
378,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,統合明細文書ID,この統合文書が統合する明細文書の文書ID,1..1
379,ヘッダ部,UN01005582,BBIE,,,,,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,統合明細文書発行日,この統合文書が統合する明細文書の発行日,0..1
380,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,統合明細文書履歴ID,この統合文書が統合する明細文書の変更履歴を管理するID。,0..1
381,ヘッダ部,UN01009672,BBIE,,,,,,,,CI_ Referenced_ Document. Type. Code,,,,,統合明細文書タイプコード,この統合文書が統合する明細文書の文書タイプを識別するコード,0..1
382,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,統合明細文書サブタイプコード,この統合文書が統合する明細文書の文書サブタイプを識別するコード,0..1
383,ヘッダ部,UN01005990,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Agreement,,,,,,,,,文書ヘッダ／契約グループ,文書ヘッダの契約に関するグループ。,0..1
384,ヘッダ部,UN01005958,ABIE,,,,,CIIL_ Supply Chain_ Trade Agreement. Details,,,,,,,,文書ヘッダ契約クラス,文書ヘッダの契約に関する情報からなるクラス。,－
385,ヘッダ部,UN01005960,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,,,,,,,文書ヘッダ契約／参照受注書グループ,文書ヘッダが参照する受注書に関するグループ。,0..1
386,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,（文書ヘッダ参照）受注書クラス,文書ヘッダ契約が参照する受注書に関する情報からなるクラス。,－
387,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（文書ヘッダ参照）受注書ID,この文書ヘッダが参照する受注書に記載の文書ID,1..1
388,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（文書ヘッダ参照）受注書履歴ID,この文書ヘッダが参照する受注書の変更履歴を管理するID。,0..1
389,ヘッダ部,UN01005961,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,,,,,,,文書ヘッダ契約／参照注文書グループ,文書ヘッダが参照する注文書に関するグループ。,0..1
390,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,（文書ヘッダ参照）注文書クラス,文書ヘッダが参照する注文書に関する情報からなるクラス。,－
391,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（文書ヘッダ参照）注文書ID,この文書ヘッダが参照する注文書に記載の文書ID。,1..1
392,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（文書ヘッダ参照）注文書履歴ID,この文書ヘッダが参照する注文書の変更履歴を管理するID。,0..1
393,ヘッダ部,UN01005963,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,,,,,,,文書ヘッダ契約／参照契約書グループ,文書ヘッダが参照する契約書に関するグループ。,0..1
394,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,（文書ヘッダ参照）契約文書クラス,文書ヘッダが参照する契約文書に関る情報からなるクラス。,－
395,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（文書ヘッダ参照）契約文書ID,この文書ヘッダが参照する契約書に記載の文書ID,1..1
396,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（文書ヘッダ参照）契約書履歴ID,この文書が参照する契約書の変更履歴を管理するID。,0..1
397,ヘッダ部,UN01005991,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Delivery,,,,,,,,,文書ヘッダ／配送グループ,文書ヘッダの配送に関する情報からなるグループ。,0..1
398,ヘッダ部,UN01005968,ABIE,,,,,CIIL_ Supply Chain_ Trade Delivery. Details,,,,,,,,文書ヘッダ配送クラス,文書ヘッダの配送に関する情報からなるクラス。,－
399,ヘッダ部,UN01005980,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,,,,,,,文書ヘッダ配送／納入先グループ,この文書ヘッダの納入先に関するグループ,0..1
400,ヘッダ部,UN01005756,ABIE,,,,,,,CI_ Trade_ Party. Details,,,,,,納入先クラス,納入先に関する情報からなるクラス。,－
401,ヘッダ部,UN01005757,BBIE,,,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,納入先ID,納入先の企業/工場・事業所・事業部門等を表す発注者が付与したID。,0..1
402,ヘッダ部,UN01005758,BBIE,,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,納入先国際企業ID,納入先企業を表す国際企業ID。,0..1
403,ヘッダ部,UN01005759,BBIE,,,,,,,,CI_ Trade_ Party. Name. Text,,,,,納入先名称,納入先の企業/工場・事業所・事業部門等の名称,0..1
404,ヘッダ部,UN01005762,ASBIE,,,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,納入先／住所グループ,納入先企業の住所情報に関するグループ。,0..1
405,ヘッダ部,UN01005687,ABIE,,,,,,,,,CI_ Trade_ Address. Details,,,,納入先住所クラス,住所に関する情報からなるクラス。,－
406,ヘッダ部,UN01005689,BBIE,,,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,納入先郵便番号,納入先の郵便番号,0..1
407,ヘッダ部,UN01005692,BBIE,,,,,,,,,,CI_ Trade_ Address. Line One. Text,,,納入先住所1,納入先の住所1行目,0..1
408,ヘッダ部,UN01005693,BBIE,,,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,納入先住所2,納入先の住所2行目。,0..1
409,ヘッダ部,UN01005694,BBIE,,,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,納入先住所3,納入先の住所3行目。,0..1
410,ヘッダ部,UN01005700,BBIE,,,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,納入先国ID,納入先の国ID。デフォルトは「JP」,0..1
411,ヘッダ部,UN01005986,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,,,,,,,文書ヘッダ配送／イベントグループ,この文書ヘッダの発送イベントのグループ,0..1
412,ヘッダ部,UN01005626,ABIE,,,,,,,CI_ Supply Chain_ Event. Details,,,,,,配送イベントクラス,配送にかかわるイベントのクラス,－
413,ヘッダ部,UN01005628,BBIE,,,,,,,,CI_ Supply Chain_ Event. Occurrence. Date Time,,,,,配送日,納入先へ発送した日時,0..1
414,ヘッダ部,UN01006039,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,,,,,,,文書ヘッダ配送／参照出荷案内書グループ,この文書ヘッダが参照する出荷案内書（納品書、送り状等）のグループ,0..n
415,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,（文書ヘッダ参照）出荷案内書クラス,文書ヘッダが参照する出荷案内書のクラス,－
416,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（文書ヘッダ参照）出荷案内書ID,この文書ヘッダが参照する受注者が付番した出荷案内書ID,1..1
417,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（文書ヘッダ参照）出荷案内書履歴ID,この文書ヘッダが参照する出荷案内書の変更履歴を管理するID。,0..1
418,ヘッダ部,UN01009672,BBIE,,,,,,,,"CI_ Referenced_ Document. Type. Code
　",,,,,（文書ヘッダ参照）文書タイプコード,"この文書ヘッダが参照する文書の文書タイプを識別するコード
＝「351」（Despatch advice）（デフォルト）",0..1
419,ヘッダ部,UN01013318,BBIE,,,,,,,,CI_ Referenced_ Document. Category. Code,,,,,（文書ヘッダ参照）出荷案内書類型コード,"この文書ヘッダが参照する出荷案内書の類型（適格請求書等対応、適格請求書の補完、適格請求書非適合）を識別するコード
デフォルトは「適格請求書非適合」",0..1
420,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,（文書ヘッダ参照）文書サブタイプコード,"この文書ヘッダが参照する出荷案内書の文書サブタイプを識別するコード
＝[35101](一般納品書：デフォルト）",0..1
421,ヘッダ部,UN01006040,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,,,,,,,文書ヘッダ配送／参照出荷回答書グループ,この文書ヘッダが参照する出荷回答書のグループ,0..n
422,ヘッダ部,UN01005579,ABIE,,,,,,,CI_ Referenced_ Document. Details,,,,,,（文書ヘッダ参照）出荷回答書クラス,文書ヘッダが参照する出荷回答書のクラス,－
423,ヘッダ部,UN01005580,BBIE,,,,,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,（文書ヘッダ参照）出荷回答書ID,この文書ヘッダが参照する発注者が付番した出荷回答書ID,1..1
424,ヘッダ部,UN01005588,BBIE,,,,,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,（文書ヘッダ参照）出荷回答書履歴ID,この文書ヘッダが参照する出荷回答書の変更履歴を管理するID。,0..1
425,ヘッダ部,UN01009672,BBIE,,,,,,,,"CI_ Referenced_ Document. Type. Code
",,,,,（文書ヘッダ参照）文書タイプコード,"この文書ヘッダが参照する出荷回答書の文書タイプを識別するコード
＝「632」（Goods receipt）（デフォルト）",0..1
426,ヘッダ部,UN01014899,BBIE,,,,,,,,CI_ Referenced_ Document. Subtype. Code,,,,,（文書ヘッダ参照）文書サブタイプコード,この文書ヘッダが参照する出荷回答書の文書サブタイプを識別するコード＝[63201](出荷回答書：デフォルト）,0..1
427,ヘッダ部,UN01005992,ASBIE,,,,CIIL_ Supply Chain_ Trade Line Item. Specified. CIIL_ Supply Chain_ Trade Settlement,,,,,,,,,文書ヘッダ／決済グループ,"文書ヘッダの決済に関するグループ。
文書タイプが「統合文書」を指定する場合にこのグループは任意。「単一文書」を指定する場合はこのグループは実装しない",0..1
428,ヘッダ部,UN01005994,ABIE,,,,,CIIL_ Supply Chain_ Trade Settlement. Details,,,,,,,,文書ヘッダ決済クラス,文書ヘッダの決済に関する情報からなるクラス。,－
429,ヘッダ部,UN01014647,BBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Direction. Code,,,,,,,文書ヘッダ取引方向コード,"この文書ヘッダの取引方向を識別するコード
デフォルトは「プラス」",0..1
430,ヘッダ部,UN01005998,ASBIE,,,,,,CIIL_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Allowance Charge,,,,,,,文書ヘッダ決済／文書ヘッダ返金グループ,文書ヘッダの返金グループ,0..n
431,ヘッダ部,UN01005706,ABIE,,,,,,,CI_ Trade_ Allowance Charge. Details,,,,,,文書ヘッダ返金クラス,文書ヘッダ返金のクラス, -
432,ヘッダ部,UN01005707,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,文書ヘッダ返金・追加請求判別子,"文書ヘッダ返金と文書ヘッダ追加請求を識別する判別子
属性：Fault=Allowance",1..1
433,ヘッダ部,UN01005710,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Calculation. Percent,,,,,文書ヘッダ返金計算率,この文書ヘッダ返金を計算するための率,0..1
434,ヘッダ部,UN01005713,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,文書ヘッダ返金金額,この文書ヘッダ返金の請求金額,0..1
435,ヘッダ部,UN01005714,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,文書ヘッダ返金理由コード,この文書ヘッダ返金の理由を識別するコード,0..1
436,ヘッダ部,UN01005715,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,文書ヘッダ返金理由,この文書ヘッダ返金の理由（内容）の説明,0..1
437,ヘッダ部,UN01008286,BBIE,,,,,,,,CI_ Trade_ Allowance Charge. Basis. Amount,,,,,文書ヘッダ返金計算根拠金額,この文書ヘッダ返金の計算根拠となる金額,0..1
438,ヘッダ部,UN01005716,ASBIE,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,文書ヘッダ返金／文書ヘッダ返金税グループ,文書ヘッダ返金の税に関するグループ,0..n
439,ヘッダ部,UN01005832,ABIE,,,,,,,,,CI_ Trade_ Tax. Details,,,,文書ヘッダ返金税クラス,文書ヘッダ返金の税クラス,－
440,ヘッダ部,UN01005841,BBIE,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,文書ヘッダ返金課税分類コード,文書ヘッダ返金の課税分類コード,1..1
441,ヘッダ部,UN01007174,BBIE,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,文書ヘッダ返金税率,文書ヘッダ返金の税率,0..1
