num,GL,GL詳細,借方勘定科目セグメント,貸方勘定科目セグメント,事業セグメント,仕訳ID,ソースコード,ソース説明,ERPサブレジャーモジュール,システムマニュアル識別子,作成者ユーザーID,作成日,仕訳エントリタイプコード,仕訳エントリ行説明,記帳日,通貨コード,借方勘定科目番号,借方勘定科目名,借方財務諸表キャプション,借方金額,借方勘定科目セグメント番号,借方勘定科目セグメントコード,借方勘定科目セグメント名,貸方勘定科目番号,貸方勘定科目名,貸方財務諸表キャプション,貸方金額,貸方勘定科目セグメント番号,貸方勘定科目セグメントコード,貸方勘定科目セグメント名,事業セグメント順序番号,事業セグメントコード,組織タイプ名
7765,0001-20090905-91-1191-1-2843,3,,,,,,,,,,,account,09年9月5日伝票No299株式会社　渡辺産業,2009-09-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,22,部門,050,九州,152,売掛金,AccountsReceivableTradeGross,22,部門,000,共通部門,customer,022,㈱渡辺産業
7767,0001-20090905-92-1192-1-2845,,,,,1192-2845,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7769,0001-20090905-92-1192-1-2845,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7770,0001-20090905-92-1192-1-2845,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
7771,0001-20090905-92-1192-1-2845,1,,,,,,,,,,,account,09年9月5日伝票No300佐々木販売株式会社,2009-09-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,902654,,,,152,売掛金,AccountsReceivableTradeGross,902654,部門,000,共通部門,customer,026,佐々木販売㈱
7772,0001-20090905-92-1192-1-2845,2,,,,,,,,,,,account,09年9月5日伝票No300佐々木販売株式会社,2009-09-05,ISO4217:JPY,741,支払手数料,CommissionExpense,450,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,450,部門,000,共通部門,customer,026,佐々木販売㈱
7773,0001-20090905-92-1192-1-2845,3,,,,,,,,,,,account,09年9月5日伝票No300佐々木販売株式会社,2009-09-05,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,22,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,22,部門,000,共通部門,customer,026,佐々木販売㈱
7775,0001-20090905-93-1193-1-2847,,,,,1193-2847,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7777,0001-20090905-93-1193-1-2847,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7778,0001-20090905-93-1193-1-2847,0,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
7779,0001-20090905-93-1193-1-2847,1,,,,,,,,,,,account,09年9月5日伝票No301岩下物産株式会社,2009-09-05,ISO4217:JPY,131,普通預金,OrdinaryDeposit,883338,,,,152,売掛金,AccountsReceivableTradeGross,883338,部門,000,共通部門,customer,027,岩下物産㈱
7780,0001-20090906-10-1195-1-2851,,,,,1195-2851,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7781,0001-20090906-10-1195-1-2851,0,,,,,,,,,,,account,ガソリン代,2009-09-06,ISO4217:JPY,740,車両費,VehiclesExpense,4023,部門,010,札幌,111,現金,CashHand,4023,部門,000,共通部門,,,
7782,0001-20090906-10-1195-1-2851,1,,,,,,,,,,,account,ガソリン代,2009-09-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,201,部門,010,札幌,111,現金,CashHand,201,部門,000,共通部門,,,
7784,0001-20090906-110-1198-1-2857,,,,,1198-2857,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7785,0001-20090906-110-1198-1-2857,0,,,,,,,,,,,account,タクシー代,2009-09-06,ISO4217:JPY,726,旅費交通費,TravelingExpense,2181,部門,040,大阪,111,現金,CashHand,2181,部門,000,共通部門,,,
7786,0001-20090906-110-1198-1-2857,1,,,,,,,,,,,account,タクシー代,2009-09-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,109,部門,040,大阪,111,現金,CashHand,109,部門,000,共通部門,,,
7788,0001-20090906-133-1199-1-2859,,,,,1199-2859,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7789,0001-20090906-133-1199-1-2859,0,,,,,,,,,,,account,税理士報酬,2009-09-06,ISO4217:JPY,746,支払報酬,ProfessionalsFee,133058,部門,020,東京,131,普通預金,OrdinaryDeposit,133058,,,,,,
7790,0001-20090906-133-1199-1-2859,1,,,,,,,,,,,account,税理士報酬,2009-09-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6652,部門,020,東京,131,普通預金,OrdinaryDeposit,6652,,,,,,
7792,0001-20090906-133-1199-1-2859,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7793,0001-20090906-133-1199-1-2859,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
7794,0001-20090906-42-1196-1-2853,,,,,1196-2853,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7795,0001-20090906-42-1196-1-2853,0,,,,,,,,,,,account,コーヒー代2名,2009-09-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,1200,部門,020,東京,111,現金,CashHand,1200,部門,000,共通部門,,,
7796,0001-20090906-42-1196-1-2853,1,,,,,,,,,,,account,コーヒー代2名,2009-09-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,60,部門,020,東京,111,現金,CashHand,60,部門,000,共通部門,,,
7798,0001-20090906-43-1197-1-2855,,,,,1197-2855,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7799,0001-20090906-43-1197-1-2855,0,,,,,,,,,,,account,食事代　トン吉2名,2009-09-06,ISO4217:JPY,733,交際接待費,EntertainmentExpense,3924,部門,020,東京,111,現金,CashHand,3924,部門,000,共通部門,,,
7800,0001-20090906-43-1197-1-2855,1,,,,,,,,,,,account,食事代　トン吉2名,2009-09-06,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,196,部門,020,東京,111,現金,CashHand,196,部門,000,共通部門,,,
7802,0001-20090907-21-1200-1-2861,,,,,1200-2861,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7803,0001-20090907-21-1200-1-2861,0,,,,,,,,,,,account,JR代,2009-09-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,66191,部門,010,札幌,111,現金,CashHand,66191,部門,000,共通部門,,,
7804,0001-20090907-21-1200-1-2861,1,,,,,,,,,,,account,JR代,2009-09-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3309,部門,010,札幌,111,現金,CashHand,3309,部門,000,共通部門,,,
7806,0001-20090907-22-1201-1-2863,,,,,1201-2863,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7807,0001-20090907-22-1201-1-2863,0,,,,,,,,,,,account,旅費,2009-09-07,ISO4217:JPY,726,旅費交通費,TravelingExpense,47620,部門,010,札幌,111,現金,CashHand,47620,部門,000,共通部門,,,
7808,0001-20090907-22-1201-1-2863,1,,,,,,,,,,,account,旅費,2009-09-07,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2380,部門,010,札幌,111,現金,CashHand,2380,部門,000,共通部門,,,
7810,0001-20090908-9-1202-1-2865,,,,,1202-2865,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7811,0001-20090908-9-1202-1-2865,0,,,,,,,,,,,account,コーヒー代2名,2009-09-08,ISO4217:JPY,733,交際接待費,EntertainmentExpense,1334,部門,010,札幌,111,現金,CashHand,1334,部門,000,共通部門,,,
7812,0001-20090908-9-1202-1-2865,1,,,,,,,,,,,account,コーヒー代2名,2009-09-08,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,66,部門,010,札幌,111,現金,CashHand,66,部門,000,共通部門,,,
7814,0001-20090909-148-1204-1-2869,,,,,1204-2869,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7815,0001-20090909-148-1204-1-2869,0,,,,,,,,,,,account,ガソリン代,2009-09-09,ISO4217:JPY,740,車両費,VehiclesExpense,6865,部門,050,九州,111,現金,CashHand,6865,部門,000,共通部門,,,
7816,0001-20090909-148-1204-1-2869,1,,,,,,,,,,,account,ガソリン代,2009-09-09,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,343,部門,050,九州,111,現金,CashHand,343,部門,000,共通部門,,,
7818,0001-20090909-148-1204-1-2869,3,,,,,,,,,,,account,高速代,2009-09-09,ISO4217:JPY,740,車両費,VehiclesExpense,2286,部門,050,九州,111,現金,CashHand,2286,部門,000,共通部門,,,
7819,0001-20090909-148-1204-1-2869,4,,,,,,,,,,,account,高速代,2009-09-09,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,114,部門,050,九州,111,現金,CashHand,114,部門,000,共通部門,,,
7820,0001-20090909-20-1203-1-2867,,,,,1203-2867,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7821,0001-20090909-20-1203-1-2867,0,,,,,,,,,,,account,旅費,2009-09-09,ISO4217:JPY,726,旅費交通費,TravelingExpense,37115,部門,010,札幌,111,現金,CashHand,37115,部門,000,共通部門,,,
7822,0001-20090909-20-1203-1-2867,1,,,,,,,,,,,account,旅費,2009-09-09,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1855,部門,010,札幌,111,現金,CashHand,1855,部門,000,共通部門,,,
7824,0001-20090910-103-1217-1-2895,,,,,1217-2895,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7826,0001-20090910-103-1217-1-2895,1,,,,,,,,,,,account,お見舞代,2009-09-10,ISO4217:JPY,733,交際接待費,EntertainmentExpense,10000,部門,040,大阪,111,現金,CashHand,10000,部門,000,共通部門,,,
7827,0001-20090910-142-1218-1-2897,,,,,1218-2897,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7829,0001-20090910-142-1218-1-2897,1,,,,,,,,,,,account,手形期日落日　チェック,2009-09-10,ISO4217:JPY,301,支払手形,NotesPayableCustomerTradeAccountsPayable,2653685,部門,000,共通部門,121,当座預金,CheckingAccounts,2653685,,,,,,
7830,0001-20090910-142-1218-1-2897,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7831,0001-20090910-142-1218-1-2897,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,001,みずほ銀行,,,
7832,0001-20090910-143-1219-1-2899,,,,,1219-2899,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7833,0001-20090910-143-1219-1-2899,0,,,,,,,,,,,account,点検作業料,2009-09-10,ISO4217:JPY,740,車両費,VehiclesExpense,20953,部門,040,大阪,111,現金,CashHand,20953,部門,000,共通部門,,,
7834,0001-20090910-143-1219-1-2899,1,,,,,,,,,,,account,点検作業料,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1047,部門,040,大阪,111,現金,CashHand,1047,部門,000,共通部門,,,
7836,0001-20090910-162-1220-1-2901,,,,,1220-2901,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7837,0001-20090910-162-1220-1-2901,0,,,,,,,,,,,account,会議　食事代,2009-09-10,ISO4217:JPY,734,会議費,ConventionExpense,23805,部門,020,東京,111,現金,CashHand,23805,部門,000,共通部門,,,
7838,0001-20090910-162-1220-1-2901,1,,,,,,,,,,,account,会議　食事代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1190,部門,020,東京,111,現金,CashHand,1190,部門,000,共通部門,,,
7840,0001-20090910-168-1221-1-2903,,,,,1221-2903,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7841,0001-20090910-168-1221-1-2903,0,,,,,,,,,,,account,有線,2009-09-10,ISO4217:JPY,791,雑費,MiscellaneousExpense,6000,部門,050,九州,322,未払金,AccountsPayableOther,6000,部門,000,共通部門,,,
7842,0001-20090910-168-1221-1-2903,1,,,,,,,,,,,account,有線,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,300,部門,050,九州,322,未払金,AccountsPayableOther,300,部門,000,共通部門,,,
7844,0001-20090910-168-1221-1-2903,3,,,,,,,,,,,account,警備料,2009-09-10,ISO4217:JPY,791,雑費,MiscellaneousExpense,42858,部門,050,九州,322,未払金,AccountsPayableOther,42858,部門,000,共通部門,,,
7845,0001-20090910-168-1221-1-2903,4,,,,,,,,,,,account,警備料,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2142,部門,050,九州,322,未払金,AccountsPayableOther,2142,部門,000,共通部門,,,
7846,0001-20090910-44-1205-1-2871,,,,,1205-2871,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7847,0001-20090910-44-1205-1-2871,0,,,,,,,,,,,account,手土産代　五越百貨店,2009-09-10,ISO4217:JPY,733,交際接待費,EntertainmentExpense,2420,部門,020,東京,111,現金,CashHand,2420,部門,000,共通部門,,,
7848,0001-20090910-44-1205-1-2871,1,,,,,,,,,,,account,手土産代　五越百貨店,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,120,部門,020,東京,111,現金,CashHand,120,部門,000,共通部門,,,
7850,0001-20090910-62-1206-1-2873,,,,,1206-2873,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7851,0001-20090910-62-1206-1-2873,0,,,,,,,,,,,account,源泉税支払,2009-09-10,ISO4217:JPY,326,預り金,DepositsReceivedOther,260493,,,,131,普通預金,OrdinaryDeposit,260493,,,,,,
7852,0001-20090910-62-1206-1-2873,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7853,0001-20090910-62-1206-1-2873,0,1,,,,,,,,,,,,,,,,,,補助科目,003,源泉税,,,,,,,,,,
7855,0001-20090910-62-1206-1-2873,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7856,0001-20090910-62-1206-1-2873,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
7857,0001-20090910-62-1206-1-2873,2,,,,,,,,,,,account,住民税支払,2009-09-10,ISO4217:JPY,326,預り金,DepositsReceivedOther,449500,,,,131,普通預金,OrdinaryDeposit,449500,,,,,,
7858,0001-20090910-62-1206-1-2873,2,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7859,0001-20090910-62-1206-1-2873,2,1,,,,,,,,,,,,,,,,,,補助科目,002,住民税,,,,,,,,,,
7860,0001-20090910-66-1207-1-2875,,,,,1207-2875,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7861,0001-20090910-66-1207-1-2875,0,,,,,,,,,,,account,有線,2009-09-10,ISO4217:JPY,791,雑費,MiscellaneousExpense,5000,部門,010,札幌,322,未払金,AccountsPayableOther,5000,部門,000,共通部門,,,
7862,0001-20090910-66-1207-1-2875,1,,,,,,,,,,,account,有線,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,250,部門,010,札幌,322,未払金,AccountsPayableOther,250,部門,000,共通部門,,,
7864,0001-20090910-66-1207-1-2875,3,,,,,,,,,,,account,警備料,2009-09-10,ISO4217:JPY,791,雑費,MiscellaneousExpense,34286,部門,010,札幌,322,未払金,AccountsPayableOther,34286,部門,000,共通部門,,,
7865,0001-20090910-66-1207-1-2875,4,,,,,,,,,,,account,警備料,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1714,部門,010,札幌,322,未払金,AccountsPayableOther,1714,部門,000,共通部門,,,
7866,0001-20090910-73-1208-1-2877,,,,,1208-2877,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7867,0001-20090910-73-1208-1-2877,0,,,,,,,,,,,account,ゴルフプレー代,2009-09-10,ISO4217:JPY,733,交際接待費,EntertainmentExpense,17715,部門,020,東京,111,現金,CashHand,17715,部門,000,共通部門,,,
7868,0001-20090910-73-1208-1-2877,1,,,,,,,,,,,account,ゴルフプレー代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,885,部門,020,東京,111,現金,CashHand,885,部門,000,共通部門,,,
7870,0001-20090910-81-1209-1-2879,,,,,1209-2879,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7871,0001-20090910-81-1209-1-2879,0,,,,,,,,,,,account,ガソリン代,2009-09-10,ISO4217:JPY,740,車両費,VehiclesExpense,4931,部門,050,九州,111,現金,CashHand,4931,部門,000,共通部門,,,
7872,0001-20090910-81-1209-1-2879,1,,,,,,,,,,,account,ガソリン代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,246,部門,050,九州,111,現金,CashHand,246,部門,000,共通部門,,,
7874,0001-20090910-81-1209-1-2879,3,,,,,,,,,,,account,駐車代,2009-09-10,ISO4217:JPY,740,車両費,VehiclesExpense,572,部門,050,九州,111,現金,CashHand,572,部門,000,共通部門,,,
7875,0001-20090910-81-1209-1-2879,4,,,,,,,,,,,account,駐車代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,28,部門,050,九州,111,現金,CashHand,28,部門,000,共通部門,,,
7876,0001-20090910-85-1210-1-2881,,,,,1210-2881,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7877,0001-20090910-85-1210-1-2881,0,,,,,,,,,,,account,電話代,2009-09-10,ISO4217:JPY,727,通信費,CommunicationCost,65860,部門,030,名古屋,131,普通預金,OrdinaryDeposit,65860,,,,,,
7878,0001-20090910-85-1210-1-2881,1,,,,,,,,,,,account,電話代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3292,部門,030,名古屋,131,普通預金,OrdinaryDeposit,3292,,,,,,
7880,0001-20090910-85-1210-1-2881,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7881,0001-20090910-85-1210-1-2881,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,
7882,0001-20090910-85-1210-1-2881,3,,,,,,,,,,,account,ＪＲ代,2009-09-10,ISO4217:JPY,726,旅費交通費,TravelingExpense,5715,部門,030,名古屋,111,現金,CashHand,5715,部門,000,共通部門,,,
7883,0001-20090910-85-1210-1-2881,4,,,,,,,,,,,account,ＪＲ代,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,285,部門,030,名古屋,111,現金,CashHand,285,部門,000,共通部門,,,
7885,0001-20090910-94-1211-1-2883,,,,,1211-2883,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7887,0001-20090910-94-1211-1-2883,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7888,0001-20090910-94-1211-1-2883,0,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
7889,0001-20090910-94-1211-1-2883,1,,,,,,,,,,,account,09年9月10日伝票No302株式会社　ミナミ,2009-09-10,ISO4217:JPY,131,普通預金,OrdinaryDeposit,570942,,,,152,売掛金,AccountsReceivableTradeGross,570942,部門,000,共通部門,customer,019,㈱ﾐﾅﾐ
7890,0001-20090910-94-1211-1-2883,2,,,,,,,,,,,account,09年9月10日伝票No302株式会社　ミナミ,2009-09-10,ISO4217:JPY,741,支払手数料,CommissionExpense,700,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,700,部門,000,共通部門,customer,019,㈱ﾐﾅﾐ
7891,0001-20090910-94-1211-1-2883,3,,,,,,,,,,,account,09年9月10日伝票No302株式会社　ミナミ,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,35,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,35,部門,000,共通部門,customer,019,㈱ﾐﾅﾐ
7893,0001-20090910-95-1212-1-2885,,,,,1212-2885,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7895,0001-20090910-95-1212-1-2885,1,,,,,,,,,,,account,09年9月10日伝票No303かめだデパート,2009-09-10,ISO4217:JPY,150,受取手形,NotesReceivableGross,5178380,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross,5178380,部門,000,共通部門,customer,028,かめだﾃﾞﾊﾟｰﾄ
7896,0001-20090910-96-1213-1-2887,,,,,1213-2887,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7898,0001-20090910-96-1213-1-2887,1,,,,,,,,,,,account,09年9月10日伝票No477株式会社　チェック,2009-09-10,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,627649,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross,627649,部門,000,共通部門,customer,003,㈱ﾁｪｯｸ
7899,0001-20090910-97-1214-1-2889,,,,,1214-2889,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7901,0001-20090910-97-1214-1-2889,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
7902,0001-20090910-97-1214-1-2889,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
7903,0001-20090910-97-1214-1-2889,1,,,,,,,,,,,account,09年9月10日伝票No499株式会社　藤田東京本社,2009-09-10,ISO4217:JPY,131,普通預金,OrdinaryDeposit,8166175,,,,152,売掛金,AccountsReceivableTradeGross,8166175,部門,000,共通部門,customer,014,㈱藤田
7904,0001-20090910-97-1214-1-2889,2,,,,,,,,,,,account,09年9月10日伝票No499株式会社　藤田東京本社,2009-09-10,ISO4217:JPY,741,支払手数料,CommissionExpense,800,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,800,部門,000,共通部門,customer,014,㈱藤田
7905,0001-20090910-97-1214-1-2889,3,,,,,,,,,,,account,09年9月10日伝票No499株式会社　藤田東京本社,2009-09-10,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,40,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,40,部門,000,共通部門,customer,014,㈱藤田
7907,0001-20090910-98-1215-1-2891,,,,,1215-2891,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7909,0001-20090910-98-1215-1-2891,1,,,,,,,,,,,account,09年9月10日伝票No220株式会社　チェック,2009-09-10,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,2623516,部門,000,共通部門,301,支払手形,NotesPayableCustomerTradeAccountsPayable,2623516,部門,000,共通部門,vendor,003,㈱ﾁｪｯｸ
7910,0001-20090910-99-1216-1-2893,,,,,1216-2893,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7912,0001-20090910-99-1216-1-2893,1,,,,,,,,,,,account,09年9月10日伝票No222株式会社　山下,2009-09-10,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,414892,部門,000,共通部門,131,普通預金,OrdinaryDeposit,414892,,,,vendor,008,㈱山下
7913,0001-20090910-99-1216-1-2893,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7914,0001-20090910-99-1216-1-2893,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
7915,0001-20090911-112-1228-1-2917,,,,,1228-2917,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7916,0001-20090911-112-1228-1-2917,0,,,,,,,,,,,account,電話代,2009-09-11,ISO4217:JPY,727,通信費,CommunicationCost,159623,部門,040,大阪,131,普通預金,OrdinaryDeposit,159623,,,,,,
7917,0001-20090911-112-1228-1-2917,1,,,,,,,,,,,account,電話代,2009-09-11,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,7981,部門,040,大阪,131,普通預金,OrdinaryDeposit,7981,,,,,,
7919,0001-20090911-112-1228-1-2917,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7920,0001-20090911-112-1228-1-2917,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
7921,0001-20090911-129-1229-1-2919,,,,,1229-2919,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
7922,0001-20090911-129-1229-1-2919,0,,,,,,,,,,,account,家賃支払い,2009-09-11,ISO4217:JPY,747,地代家賃,LandHouseRent,380000,部門,030,名古屋,131,普通預金,OrdinaryDeposit,380000,,,,,,
7923,0001-20090911-129-1229-1-2919,1,,,,,,,,,,,account,家賃支払い,2009-09-11,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,19000,部門,030,名古屋,131,普通預金,OrdinaryDeposit,19000,,,,,,
7925,0001-20090911-129-1229-1-2919,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
7926,0001-20090911-129-1229-1-2919,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,
