SemSort,ID,,Level,Card,BT,Desc.,DT,SyntSort,Path,Typ,Card,Match,Rules
2690,BG-23,IBG-23,1,1..n,VAT BREAKDOWN,"A group of business terms providing information about VAT breakdown by different categories, rates and exemption reasons",,3370,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax,Element,0..n,CAR-2,
2700,BT-116,IBT-116,2,1..1,VAT category taxable amount,Sum of all taxable amounts subject to a specific VAT category code and VAT category rate (if the VAT category rate is applicable).,Amount,3410,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:BasisAmount,Element,0..n,"CAR-2,CAR-3",
2710,BT-117,IBT-117,2,1..1,VAT category tax amount,The total VAT amount for a given VAT category.,Amount,3380,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CalculatedAmount,Element,0..n,"CAR-2,CAR-3",
2720,BT-118,IBT-118,2,1..1,VAT category code,Coded identification of a VAT category.,Code,3390,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:TypeCode,Element,0..1,,Fixed value “VAT”
2730,,,,,,,,3420,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CategoryCode,Element,0..1,CAR-2,
2740,BT-119,IBT-119,2,0..1,VAT category rate,"The VAT rate, represented as percentage that applies for the relevant VAT category.",Percentage,3480,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:RateApplicablePercent,Element,0..1,,
2750,BT-120,IBT-120,2,0..1,VAT exemption reason text,A textual statement of the reason why the amount is exempted from VAT or why no VAT is being charged,Text,3400,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:ExemptionReason,Element,0..1,,
2760,BT-121,IBT-121,2,0..1,VAT exemption reason code,A coded statement of the reason for why the amount is exempted from VAT.,Code,3430,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:ExemptionReasonCode,Element,0..1,,
2770,BG-24,IBG-24,1,0..n,ADDITIONAL SUPPORTING DOCUMENTS,A group of business terms providing information about additional supporting documents substantiating the claims made in the Invoice.,,2740,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument,Element,0..n,,
2780,BT-122,IBT-122,2,1..1,Supporting document reference,An identifier of the supporting document.,Document reference,2750,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:IssuerAssignedID,Element,0..1,CAR-2,Use for “ADDITIONAL SUPPORTING DOCUMENTS” with TypeCode “916”
2790,,,,,,,,2770,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:TypeCode,Element,0..1,CAR-2,Use for “ADDITIONAL SUPPORTING DOCUMENTS” with TypeCode “916”
2800,BT-123,IBT-123,2,0..1,Supporting document description,A description of the supporting document.,Text,2780,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:Name,Element,0..n,CAR-3,
2810,BT-124,IBT-124,2,0..1,External document location,The URL (Uniform Resource Locator) that identifies where the external document is located.,Text,2760,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:URIID,Element,0..1,,
2820,BT-125,IBT-125,2,0..1,Attached document,An attached document embedded as binary object or sent together with the invoice.,Binary object,2790,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:AttachmentBinaryObject,Element,0..n,CAR-3,
2830,BT-125–1,IBT-125–1,3,1..1,Attached document Mime code,The mime code of the attached document.,String,2800,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:AttachmentBinaryObject/@mimeCode,Attribute,,CAR-2,
2840,BT-125–2,IBT-125–2,3,1..1,Attached document Filename,The file name of the attached document,String,2810,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:AdditionalReferencedCIReferencedDocument/ram:AttachmentBinaryObject/@filename,Attribute,,CAR-2,
2850,BG-25,IBG-25,1,1..n,INVOICE LINE,A group of business terms providing information on individual Invoice lines.,,1160,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem,Element,0..n,CAR-2,
2860,BT-126,IBT-126,2,1..1,Invoice line identifier,A unique identifier for the individual line within the Invoice.,Identifier,1180,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:AssociatedCIILDocumentLineDocument/ram:LineID,Element,0..1,CAR-2,
2870,BT-127,IBT-127,2,0..1,Invoice line note,A textual note that gives unstructured information that is relevant to the Invoice line.,Text,1200,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:AssociatedCIILDocumentLineDocument/ram:IncludedCINote/ram:Content,Element,0..n,CAR-3,
2880,BT-128,IBT-128,2,0..1,Invoice line object identifier,"An identifier for an object on which the invoice line is based, given by the Seller.",Identifier,1870,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:AdditionalReferencedCIReferencedDocument[ram:TypeCode='130']/ram:IssuerAssignedID,Element,0..1,,Use with TypeCode “130”
2890,,,,,,,,1880,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:AdditionalReferencedCIReferencedDocument[ram:TypeCode='130']/ram:TypeCode,Element,0..1,,TypeCode “130”
2900,BT-128–1,IBT-128–1,3,0..1,Invoice line object identifier identification scheme identifier,The identification scheme identifier of the Invoice line object identifier.,String,1890,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:AdditionalReferencedCIReferencedDocument/ram:ReferenceTypeCode,Element,0..1,,
2910,BT-129,IBT-129,2,1..1,Invoiced quantity,The quantity of items (goods or services) that is charged in the Invoice line.,Qyantity,1530,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeDelivery/ram:BilledQuantity,Element,0..1,CAR-2,
2920,BT-130,IBT-130,2,1..1,Invoiced quantity unit of measure,The unit of measure that applies to the invoiced quantity.,Code,1540,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeDelivery/ram:BilledQuantity/@unitCode,Attribute,,CAR-2,
2930,BT-131,IBT-131,2,1..1,Invoice line net amount,The total amount of the Invoice line.,Amount,1850,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCIILTradeSettlementMonetarySummation/ram:LineTotalAmount,Element,0..n,"CAR-2,CAR-3",
2940,BT-132,IBT-132,2,0..1,Referenced purchase order line reference,"An identifier for a referenced line within a purchase order, issued by the Buyer.",Document reference,1390,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:BuyerOrderReferencedCIReferencedDocument/ram:LineID,Element,0..1,,
2950,BT-133,IBT-133,2,0..1,Invoice line Buyer accounting reference,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,Text,1910,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:ReceivableSpecifiedTradeAccountingAccount/ram:ID,Element,1..1,CAR-3,
2960,BG-26,IBG-26,2,0..1,INVOICE LINE PERIOD,A group of business terms providing information about the period relevant for the Invoice line.,,1610,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod,Element,0..1,,
2970,BT-134,IBT-134,3,0..1,Invoice line period start date,The date when the Invoice period for this Invoice line starts.,Date,1630,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102'],Element,1..1,CAR-2,@format=”102”
2980,,,,,,,,1640,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
2990,BT-135,IBT-135,3,0..1,Invoice line period end date,The date when the Invoice period for this Invoice line ends.,Date,1660,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime/udt:DateTimeString[@format='102'],Element,1..1,,@format=”102”
3000,,,,,,,,1670,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
3010,BG-27,IBG-27,2,0..n,INVOICE LINE ALLOWANCES,A group of business terms providing information about allowances applicable to the individual Invoice line.,,1680,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()],Element,0..n,STR-4,ChargeIndicator=false
3020,BT-136,IBT-136,3,1..1,Invoice line allowance amount,"The amount of an allowance, without VAT.",Amount,1730,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:ActualAmount,Element,0..n,CAR-2,
3030,BT-137,IBT-137,3,0..1,Invoice line allowance base amount,"The base amount that may be used, in conjunction with the Invoice line allowance percentage, to calculate the Invoice line allowance amount.",Amount,1720,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:BasisAmount,Element,0..1,,
3040,BT-138,IBT-138,3,0..1,Invoice line allowance percentage,"The percentage that may be used, in conjunction with the Invoice line allowance base amount, to calculate the Invoice line allowance amount.",Percentage,1710,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:CalculationPercent,Element,0..1,,
3050,BT-139,IBT-139,3,0..1,Invoice line allowance reason,"The reason for the Invoice line allowance, expressed as text.",Text,1750,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:Reason,Element,0..1,,
3060,BT-140,IBT-140,3,0..1,Invoice line allowance reason code,"The reason for the Invoice line allowance, expressed as a code.",Code,1740,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:ReasonCode,Element,0..1,,
3070,BG-28,IBG-28,2,0..n,INVOICE LINE CHARGES,A group of business terms providing information about charges and taxes other than VAT applicable to the individual Invoice line.,,1760,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()],Element,0..n,STR-4,ChargeIndicator=true
3080,BT-141,IBT-141,3,1..1,Invoice line charge amount,"The amount of a charge, without VAT.",Amount,1810,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:ActualAmount,Element,0..n,CAR-2,
3090,BT-142,IBT-142,3,0..1,Invoice line charge base amount,"The base amount that may be used, in conjunction with the Invoice line charge percentage, to calculate the Invoice line charge amount.",Amount,1800,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:BasisAmount,Element,0..1,,
3100,BT-143,IBT-143,3,0..1,Invoice line charge percentage,"The percentage that may be used, in conjunction with the Invoice line charge base amount, to calculate the Invoice line charge amount.",Percentage,1790,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:CalculationPercent,Element,0..1,,
3110,BT-144,IBT-144,3,0..1,Invoice line charge reason,"The reason for the Invoice line charge, expressed as text.",Text,1830,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:Reason,Element,0..1,,
3120,BT-145,IBT-145,3,0..1,Invoice line charge reason code,"The reason for the Invoice line charge, expressed as a code.",Code,1820,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:ReasonCode,Element,0..1,,
3130,BG-29,IBG-29,2,1..1,PRICE DETAILS,A group of business terms providing information about the price applied for the goods and services invoiced on the Invoice line.,,1370,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement,Element,0..1,STR-3,
3140,BT-146,IBT-146,3,1..1,Item net price,"The price of an item, exclusive of VAT, after subtracting item price discount.",Unit price,1490,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:NetPriceProductCITradePrice/ram:ChargeAmount,Element,1..n,CAR-3,
3150,BT-147,IBT-147,3,0..1,Item price discount,The total discount subtracted from the Item gross price to calculate the Item net price.,Unit price,1470,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:GrossPriceProductCITradePrice/ram:AppliedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:ActualAmount,Element,0..n,CAR-3,
3160,BT-148,IBT-148,3,0..1,Item gross price,"The unit price, exclusive of VAT, before subtracting Item price discount.",Unit price amount,1410,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:GrossPriceProductCITradePrice/ram:ChargeAmount,Element,1..n,CAR-3,
3170,BT-149,IBT-149,3,0..1,Item price base quantity,The number of item units to which the price applies.,Qyantity,1420,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:GrossPriceProductCITradePrice/ram:BasisQuantity,Element,0..1,STR-3,
3180,,,,,,,,1500,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:NetPriceProductCITradePrice/ram:BasisQuantity,Element,0..1,STR-3,
3190,BT-150,IBT-150,3,0..1,Item price base quantity unit of measure code,The unit of measure that applies to the Item price base quantity.,Code,1430,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeAgreement/ram:GrossPriceProductCITradePrice/ram:BasisQuantity/@unitCode,Attribute,,,
3200,BG-30,IBG-30,2,1..1,LINE VAT INFORMATION,A group of business terms providing information about the VAT applicable for the goods and services invoiced on the Invoice line.,,1570,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:ApplicableCITradeTax,Element,0..n,CAR-3,
3210,BT-151,IBT-151,3,1..1,Invoiced item VAT category code,The VAT category code for the invoiced item.,Code,1580,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:TypeCode,Element,0..1,Fixed value “VAT”,
3220,,,,,,,,1590,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:CategoryCode,Element,0..1,CAR-2,
3230,BT-152,IBT-152,3,0..1,Invoiced item VAT rate,"The VAT rate, represented as percentage that applies to the invoiced item.",Percentage,1600,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:ApplicableCITradeTax/ram:RateApplicablePercent,Element,0..1,,
3240,BG-31,IBG-31,2,1..1,ITEM INFORMATION,A group of business terms providing information about the goods and services invoiced.,,1210,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct,Element,0..1,CAR-2,
3250,BT-153,IBT-153,3,1..1,Item name,A name for an item.,Text,1260,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:Name,Element,0..n,"CAR-2,CAR-3",
3260,BT-154,IBT-154,3,0..1,Item description,A description for an item.,Text,1270,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:Description,Element,0..1,CAR-3,
3270,BT-155,IBT-155,3,0..1,Item Seller's identifier,"An identifier, assigned by the Seller, for the item.",Identifier,1240,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:SellerAssignedID,Element,0..1,,
3280,BT-156,IBT-156,3,0..1,Item Buyer's identifier,"An identifier, assigned by the Buyer, for the item.",Identifier,1250,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:BuyerAssignedID,Element,0..1,,
3290,BT-157,IBT-157,3,0..1,Item standard identifier,An item identifier based on a registered scheme.,Identifier,1220,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:GlobalID,Element,0..1,,
3300,BT-157–1,IBT-157–1,4,1..1,Item standard identifier identification scheme identifier,The identification scheme identifier of the Item standard identifier,String,1230,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:GlobalID/@schemeID,Attribute,,,
3310,BT-158,IBT-158,3,0..n,Item classification identifier,A code for classifying the item by its type or nature.,Identifier,1320,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:DesignatedProductClassification/ram:ClassCode,Element,0..1,,
3320,BT-158–1,IBT-158–1,4,1..1,Item classification identifier identification scheme identifier,The identification scheme identifier of the Item classification identifier,String,1330,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listID,Attribute,,CAR-2,
3330,BT-158–2,IBT-158–2,4,0..1,Scheme version identifer,The version of the identification scheme.,String,1340,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:DesignatedProductClassification/ram:ClassCode/@listVersionID,Attribute,,,
3340,BT-159,IBT-159,3,0..1,Item country of origin,The code identifying the country from which the item originates.,Code,1360,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:OriginTradeCountry/ram:ID,Element,0..1,,
3350,BG-32,IBG-32,3,0..n,ITEM ATTRIBUTES,A group of business terms providing information about properties of the goods and services invoiced.,,1280,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:ApplicableCIProductCharacteristic,Element,0..n,,
3360,BT-160,IBT-160,4,1..1,Item attribute name,The name of the attribute or property of the item.,Text,1290,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:ApplicableCIProductCharacteristic/ram:Description,Element,0..n,"CAR-2,CAR-3",
3370,BT-161,IBT-161,4,1..1,Item attribute value,The value of the attribute or property of the item.,Text,1300,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCITradeProduct/ram:ApplicableCIProductCharacteristic/ram:Value,Element,0..n,"SYN-2,CAR-2,CAR-3",
,,,,,,,,1860,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:IncludedCIILSupplyChainTradeLineItem/ram:SpecifiedCIILSupplyChainTradeSettlement/ram:AdditionalReferencedCIReferencedDocument[ram:TypeCode='130'],Element,,,
